,src,nei,d,d_est,d_err_absolute,d_err_relative
1278,12:2E,D4:B6,9.814163234835664,9.83,0.01583676516433563,0.0016136643323928588
1279,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1280,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1281,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1282,12:2E,D4:B6,9.814163234835664,9.79,0.024163234835665293,0.00246207794362918
1283,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1284,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1285,12:2E,D4:B6,9.814163234835664,9.84,0.025836765164335418,0.002632599901398323
1286,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1287,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1288,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1289,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1290,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1291,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1292,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1293,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1294,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1295,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1296,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1297,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1298,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1299,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1300,D6:B0,08:A6,1.6970562748477132,1.64,0.05705627484771325,0.033620732378384595
1301,D6:B0,08:A6,1.6970562748477132,1.69,0.0070562748477132065,0.00415794982894507
1302,D6:B0,08:A6,1.6970562748477132,1.64,0.05705627484771325,0.033620732378384595
1303,D6:B0,08:A6,1.6970562748477132,1.61,0.08705627484771306,0.05129840190804817
1304,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1305,D6:B0,08:A6,1.6970562748477132,1.68,0.017056274847713215,0.010050506338832975
1306,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1307,D6:B0,08:A6,1.6970562748477132,1.63,0.06705627484771326,0.0395132888882725
1308,D6:B0,08:A6,1.6970562748477132,1.69,0.0070562748477132065,0.00415794982894507
1309,D6:B0,08:A6,1.6970562748477132,1.63,0.06705627484771326,0.0395132888882725
1310,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1311,D6:B0,08:A6,1.6970562748477132,1.68,0.017056274847713215,0.010050506338832975
1312,D6:B0,08:A6,1.6970562748477132,1.65,0.04705627484771324,0.02772817586849669
1313,D6:B0,08:A6,1.6970562748477132,1.65,0.04705627484771324,0.02772817586849669
1314,D6:B0,08:A6,1.6970562748477132,1.65,0.04705627484771324,0.02772817586849669
1315,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1316,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1317,D6:B0,08:A6,1.6970562748477132,1.62,0.07705627484771305,0.04540584539816027
1318,D6:B0,08:A6,1.6970562748477132,1.68,0.017056274847713215,0.010050506338832975
1319,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1320,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
1321,D6:B0,08:A6,1.6970562748477132,1.6,0.09705627484771306,0.05719095841793608
1322,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1323,D6:B0,08:A6,1.6970562748477132,1.63,0.06705627484771326,0.0395132888882725
1324,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
1325,D6:B0,08:A6,1.6970562748477132,1.65,0.04705627484771324,0.02772817586849669
1326,D6:B0,08:A6,1.6970562748477132,1.59,0.10705627484771307,0.06308351492782398
1327,D6:B0,08:A6,1.6970562748477132,1.67,0.027056274847713224,0.01594306284872088
1328,D6:B0,08:A6,1.6970562748477132,1.58,0.11705627484771308,0.0689760714377119
1329,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1330,D6:B0,08:A6,1.6970562748477132,1.65,0.04705627484771324,0.02772817586849669
1331,D6:B0,08:A6,1.6970562748477132,1.74,0.04294372515228684,0.02530483272049445
1332,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1333,D6:B0,08:A6,1.6970562748477132,1.6,0.09705627484771306,0.05719095841793608
1334,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1335,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1336,D6:B0,08:A6,1.6970562748477132,1.61,0.08705627484771306,0.05129840190804817
1337,D6:B0,08:A6,1.6970562748477132,1.62,0.07705627484771305,0.04540584539816027
1338,D6:B0,08:A6,1.6970562748477132,1.56,0.1370562748477131,0.0807611844574877
1339,D6:B0,08:A6,1.6970562748477132,1.64,0.05705627484771325,0.033620732378384595
1340,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
1341,D6:B0,08:A6,1.6970562748477132,1.64,0.05705627484771325,0.033620732378384595
1342,D6:B0,08:A6,1.6970562748477132,1.74,0.04294372515228684,0.02530483272049445
1343,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
1344,D6:B0,08:A6,1.6970562748477132,1.72,0.02294372515228682,0.013519719700718644
1345,D6:B0,08:A6,1.6970562748477132,1.68,0.017056274847713215,0.010050506338832975
1346,D6:B0,08:A6,1.6970562748477132,1.58,0.11705627484771308,0.0689760714377119
1347,D6:B0,08:A6,1.6970562748477132,1.64,0.05705627484771325,0.033620732378384595
1348,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
1349,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1350,D6:B0,08:A6,1.6970562748477132,1.57,0.1270562748477131,0.0748686279475998
1351,D6:B0,08:A6,1.6970562748477132,1.77,0.07294372515228686,0.042982502250158164
1352,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1353,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1354,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1355,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1356,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1357,D6:B0,08:A6,1.6970562748477132,1.63,0.06705627484771326,0.0395132888882725
1358,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1359,D6:B0,08:A6,1.6970562748477132,1.57,0.1270562748477131,0.0748686279475998
1360,D6:B0,08:A6,1.6970562748477132,1.63,0.06705627484771326,0.0395132888882725
1361,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1362,D6:B0,08:A6,1.6970562748477132,1.71,0.012943725152286811,0.0076271631908307385
1363,D6:B0,08:A6,1.6970562748477132,1.66,0.03705627484771323,0.021835619358608782
1364,D6:B0,08:A6,1.6970562748477132,1.7,0.0029437251522868024,0.0017346066809428345
